target,mode,affinity,intramol,cnnpose,cnnaff,file
5HT2B_4IB4,8,-6.6,-0.23,0.7899,5.821,data/results/dock_5HT2B_4IB4/gnina.log
5HT2B_4IB4,9,-5.82,-0.32,0.7821,5.777,data/results/dock_5HT2B_4IB4/gnina.log
5HT2B_4IB4,10,-6.36,-0.22,0.7746,5.392,data/results/dock_5HT2B_4IB4/gnina.log
5HT2B_4IB4,11,-4.69,-0.33,0.7722,4.403,data/results/dock_5HT2B_4IB4/gnina.log
5HT2B_4IB4,12,-6.32,-0.04,0.7677,5.354,data/results/dock_5HT2B_4IB4/gnina.log
5HT2B_4IB4,13,-4.57,-0.26,0.7629,4.576,data/results/dock_5HT2B_4IB4/gnina.log
5HT2B_4IB4,14,-4.88,-0.16,0.7474,4.205,data/results/dock_5HT2B_4IB4/gnina.log
5HT2B_4IB4,15,-4.77,-0.35,0.7339,4.202,data/results/dock_5HT2B_4IB4/gnina.log
5HT2B_4IB4,16,-5.31,-0.2,0.6425,5.312,data/results/dock_5HT2B_4IB4/gnina.log
5HT2B_4IB4,17,-4.94,-0.3,0.629,4.265,data/results/dock_5HT2B_4IB4/gnina.log
5HT2B_4IB4,18,-4.6,-0.37,0.5979,4.241,data/results/dock_5HT2B_4IB4/gnina.log
5HT2B_4IB4,19,-4.65,-0.35,0.5952,3.771,data/results/dock_5HT2B_4IB4/gnina.log
5HT2B_4IB4,20,-5.11,0.45,0.5884,4.836,data/results/dock_5HT2B_4IB4/gnina.log
